"","x"
"1","DPY19L3"
"2","MCM5"
"3","CEMIP2"
"4","SLC4A7"
"5","SSBP2"
"6","HAUS8"
"7","GTF2F1"
"8","CBR1"
"9","TMEM106B"
"10","KDM6A"
"11","ADD3"
"12","RAB3GAP2"
"13","DHCR24"
"14","CENPN"
"15","EPHA2"
"16","ARFGAP2"
"17","OGT"
"18","ELAVL1"
"19","SLC7A11"
"20","MCM3"
"21","SDCBP"
"22","BCLAF1"
"23","POSTN"
"24","FOSL1"
"25","BUB1B"
"26","NLGN1"
"27","ZC3H7B"
"28","AES"
"29","SNX4"
"30","LONRF1"
"31","BRAF"
"32","ILF3"
"33","EPC2"
"34","CSF1"
"35","VAMP4"
"36","MAP9"
"37","APLP2"
"38","CBLB"
"39","ODF2L"
"40","TNFRSF12A"
"41","TUBA1C"
"42","GAS2L3"
"43","SERPINE1"
"44","FREM2"
"45","MSMO1"
"46","CYFIP1"
"47","ZNF704"
"48","ACSL3"
"49","RAB30"
"50","ARPC5L"
"51","FAM57A"
"52","DRAP1"
"53","TROAP"
"54","SMC2"
"55","FOXO3"
"56","KIAA1109"
"57","ESF1"
"58","POLR2E"
"59","TUBA1B"
"60","ZNF483"
"61","ETAA1"
"62","IL6ST"
"63","ASPN"
"64","UBE2T"
"65","LRRC59"
"66","UHRF1"
"67","RIPOR2"
"68","ICK"
"69","STT3A"
"70","SCARB2"
"71","GORAB"
"72","LAMP2"
"73","FBLN1"
"74","SYNE1"
"75","ALYREF"
"76","ZMYM2"
"77","KREMEN1"
"78","SEMA3A"
"79","TMTC3"
"80","SCYL2"
"81","CDC42EP3"
"82","MEIS2"
"83","GPM6B"
"84","ZNF644"
"85","DEK"
"86","SLC26A10"
"87","ELOVL6"
"88","PGM2L1"
"89","GXYLT1"
"90","MKI67"
"91","TMED5"
"92","TTC3"
"93","ARID2"
"94","CROT"
"95","SLC7A5"
"96","C21orf91"
"97","MRPL9"
"98","SLC7A1"
"99","DYNLT3"
"100","RPGRIP1L"
"101","DICER1"
"102","CDC6"
"103","ZNF141"
"104","PLAGL1"
"105","SEMA3C"
"106","TRIQK"
"107","PGD"
"108","CALR"
"109","KTN1"
"110","ATM"
"111","EPHA3"
"112","CCND1"
"113","ITGB1"
"114","SHPRH"
"115","KIDINS220"
"116","UBE2R2"
"117","SF3B1"
"118","WDR62"
"119","SLC39A6"
"120","DNTTIP2"
"121","SCD"
"122","LRRTM2"
"123","RECQL"
"124","ZFHX4"
"125","SMC3"
"126","RALGAPA1"
"127","ADAM10"
"128","HSDL1"
"129","TMEM123"
"130","ZNF254"
"131","TKT"
"132","TMTC1"
"133","AKAP11"
"134","ODC1"
"135","ILF2"
"136","PBK"
"137","IFI44L"
"138","CDC25A"
"139","GNG2"
"140","PAXBP1"
"141","CDC20"
"142","PHGDH"
"143","DDX60L"
"144","FEN1"
"145","ORC1"
"146","TUBG1"
"147","IRAK1"
"148","CD276"
"149","CAV1"
"150","ZDHHC17"
"151","ZNF358"
"152","DMRTA1"
"153","HNRNPL"
"154","SRRT"
"155","FANCA"
"156","ZNF780B"
"157","SOS1"
"158","PCMTD1"
"159","GINS1"
"160","SORBS3"
"161","NOL8"
"162","KDELC2"
"163","FKBP4"
"164","HNRNPA2B1"
"165","ICMT"
"166","MIER3"
"167","KIF18B"
"168","SRD5A1"
"169","UHRF1BP1L"
"170","CCNF"
"171","BCL7B"
"172","SYNE2"
"173","NEK2"
"174","SUCO"
"175","DNMT1"
"176","TOX"
"177","CREB5"
"178","EVI5"
"179","VKORC1"
"180","FAM214A"
"181","MAML2"
"182","C20orf194"
"183","SOX4"
"184","TPX2"
"185","H2AFX"
"186","HDGF"
"187","ABCA1"
"188","TRIM23"
"189","NUCKS1"
"190","CCNL1"
"191","SLC25A36"
"192","FAT4"
"193","SNAI2"
"194","FRMD6"
"195","DTYMK"
"196","AGL"
"197","FKTN"
"198","NEMF"
"199","ZBTB6"
"200","FAM171B"
"201","FBN2"
"202","CDT1"
"203","NSRP1"
"204","SPAG5"
"205","TSC22D2"
"206","RSAD2"
"207","CEP97"
"208","COTL1"
"209","ACAP2"
"210","PRC1"
"211","COL12A1"
"212","HES1"
"213","TARBP1"
"214","JPT1"
"215","ALMS1"
"216","PEA15"
"217","HIVEP1"
"218","PPIG"
"219","FPGT"
"220","DDX60"
"221","PRPF40A"
"222","NBEAL1"
"223","ZNF480"
"224","CKAP5"
"225","RGCC"
"226","S100A16"
"227","DCUN1D1"
"228","JMJD1C"
"229","BRWD1"
"230","KIF23"
"231","FGD4"
"232","TNIK"
"233","CCAR1"
"234","KDM5B"
"235","CARNMT1"
"236","CDCA5"
