"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"DPY19L3",4561.62651593782,0.759387395342831,0.192232841293466,3.95035203263492,7.80363299093258e-05,0.000279345080871214
"GRPEL1",1366.10497754931,-0.938272565362148,0.212033715367261,-4.42511024125091,9.63930453071665e-06,4.18045141078933e-05
"SHC1",4211.20988954607,0.976604748687976,0.179502424053277,5.44062150602553,5.30950118792151e-08,3.62284555651596e-07
"ZNF408",982.267569854825,-2.26747632843145,0.271431010752235,-8.35378508206354,6.61095855741078e-17,1.93866769805163e-15
"DNAH12",600.050298650906,-1.77697963584767,0.250694626902189,-7.0882238594646,1.35844109687181e-12,2.0529484504899e-11
"TRAIP",437.851157355363,-2.2589048675769,0.281212830105346,-8.03272335309411,9.53324681517638e-16,2.35698558288189e-14
"MCM5",936.17863321111,-1.54878676122786,0.231479911241522,-6.69080419515061,2.21947474133055e-11,2.70968517490129e-10
"CEMIP2",1515.92126316051,-1.10212781319465,0.197245800747178,-5.58758568760262,2.30248157050124e-08,1.67244789183674e-07
"TBC1D2B",838.667372608172,1.10191729683343,0.224779900305069,4.90220564800465,9.47665514910289e-07,5.09068684327718e-06
"TIMM10",392.086189017103,-1.07941928143525,0.279453141567129,-3.86261279934816,0.000112180738703269,0.000385953994176197
"ZC3H3",942.488143987755,-0.97847032011366,0.261537263608293,-3.74122718351572,0.000183123890824715,0.00060245547921498
"C8orf82",449.935886347747,1.03073701843285,0.263661426674081,3.90932049270509,9.25561026318672e-05,0.000325253648796731
"KNTC1",3279.05076193033,-0.731473888536512,0.207035220138519,-3.53308914322459,0.000410733952802855,0.00124590704677211
"RAB40B",438.545581227063,1.28049516112568,0.290811498585808,4.40317926681931,1.06675946751513e-05,4.58268389207336e-05
"ING3",3072.58324255521,-2.21083481050939,0.21542659061057,-10.2625901669954,1.03882246615361e-24,7.9719505876645e-23
"INO80",2528.43297935753,-0.648132733265801,0.209844838184163,-3.08862843076935,0.00201082759173027,0.00519658003041075
"SLIT2",10107.2955103595,0.914052174756345,0.183829313696009,4.97228737016272,6.61675256823162e-07,3.68158106644827e-06
"GBE1",6443.84373795824,0.89178035290628,0.17457921654161,5.10817020818587,3.25293562803468e-07,1.91832301657255e-06
"WDFY1",2932.16547085635,0.676646961469934,0.18010027874441,3.75705671411093,0.000171923543620193,0.000569288999300487
"SLC4A7",35746.2358323209,-0.801363476171611,0.187676307288967,-4.26992350684812,1.95540019130928e-05,7.95487761132291e-05
"SSBP2",6676.52884663636,1.92360625612059,0.213868478432738,8.99434208452351,2.37651295020353e-19,9.45644109276275e-18
"NUDT12",653.2274279041,1.77882964250718,0.246259496560525,7.22339510699838,5.07054135109202e-13,8.10874934874228e-12
"HEXIM1",2297.10347002889,0.760184306698416,0.209429197823318,3.62979142640719,0.000283650325675471,0.000895604391296755
"CCDC102A",356.743662724746,-1.08600341918565,0.302801880733595,-3.58651477512162,0.000335127084300538,0.00103932776087284
"NSMCE2",677.754316884411,-1.17969127787525,0.257702975135286,-4.57771695206836,4.70078158150219e-06,2.18029186539219e-05
"HAUS8",147.998880056143,-2.07450675986843,0.410118045433245,-5.058316216437,4.22974623865112e-07,2.43720824224178e-06
"COA5",1115.73488279507,0.736433228597867,0.238204225028597,3.09160439328671,0.00199077968225084,0.00515604520816139
"PTPRD",5256.9491051436,2.51613710310566,0.247774076519174,10.1549651135959,3.14922792296049e-24,2.18926915256159e-22
"PODN",268.379395408398,1.90281403240052,0.37666209562527,5.05177997600685,4.3771174307609e-07,2.51966750105857e-06
"PCDHB13",518.478149379593,1.5883390182254,0.277873807581108,5.71604438738537,1.09032268688943e-08,8.46056041605992e-08
"DOCK7",14446.7082098728,0.516924031703367,0.164617982336297,3.14014316277639,0.0016886529028993,0.00444861792386624
"CYS1",167.627225575718,2.7021584793165,0.409087812898667,6.60532627498692,3.96642793602947e-11,4.65032195912661e-10
"B4GAT1",832.227424744179,1.02810227758509,0.221177296169895,4.64831741498172,3.34653662777143e-06,1.59601976864418e-05
"NRDC",6390.1598103473,0.898915632772411,0.172541557973392,5.2098499824085,1.88993382974637e-07,1.1572662176136e-06
"FOXO4",137.675640380309,1.22315783043141,0.4201068446597,2.9115398760575,0.00359651997572643,0.00870976907236372
"ZNRF2",2946.22673260736,0.666589756423161,0.196673822446086,3.38931611809138,0.000700671845214647,0.00199964739597843
"NDUFAF5",583.38965185894,-1.08881144589071,0.259747350403164,-4.19180963424928,2.76738164953801e-05,0.000109564208824925
"PRKAB1",2183.22227822487,-0.982177783850584,0.211793924921242,-4.63742189118889,3.5278185891682e-06,1.67436787497148e-05
"ZNF276",427.46092770433,-1.08351753776436,0.344733819564864,-3.14305552942851,0.00167194118960518,0.00440753981234755
"KLC2",839.633475801568,-0.846529745873346,0.228459242903489,-3.70538628735172,0.000211068808075122,0.000685843050269947
