"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"GRPEL1",1366.10497754931,-0.938272565362148,0.212033715367261,-4.42511024125091,9.63930453071665e-06,4.18045141078933e-05
"ZNF408",982.267569854825,-2.26747632843145,0.271431010752235,-8.35378508206354,6.61095855741078e-17,1.93866769805163e-15
"DNAH12",600.050298650906,-1.77697963584767,0.250694626902189,-7.0882238594646,1.35844109687181e-12,2.0529484504899e-11
"TRAIP",437.851157355363,-2.2589048675769,0.281212830105346,-8.03272335309411,9.53324681517638e-16,2.35698558288189e-14
"MCM5",936.17863321111,-1.54878676122786,0.231479911241522,-6.69080419515061,2.21947474133055e-11,2.70968517490129e-10
"CEMIP2",1515.92126316051,-1.10212781319465,0.197245800747178,-5.58758568760262,2.30248157050124e-08,1.67244789183674e-07
"TIMM10",392.086189017103,-1.07941928143525,0.279453141567129,-3.86261279934816,0.000112180738703269,0.000385953994176197
"ZC3H3",942.488143987755,-0.97847032011366,0.261537263608293,-3.74122718351572,0.000183123890824715,0.00060245547921498
"KNTC1",3279.05076193033,-0.731473888536512,0.207035220138519,-3.53308914322459,0.000410733952802855,0.00124590704677211
"ING3",3072.58324255521,-2.21083481050939,0.21542659061057,-10.2625901669954,1.03882246615361e-24,7.9719505876645e-23
"INO80",2528.43297935753,-0.648132733265801,0.209844838184163,-3.08862843076935,0.00201082759173027,0.00519658003041075
"SLC4A7",35746.2358323209,-0.801363476171611,0.187676307288967,-4.26992350684812,1.95540019130928e-05,7.95487761132291e-05
"CCDC102A",356.743662724746,-1.08600341918565,0.302801880733595,-3.58651477512162,0.000335127084300538,0.00103932776087284
"NSMCE2",677.754316884411,-1.17969127787525,0.257702975135286,-4.57771695206836,4.70078158150219e-06,2.18029186539219e-05
"HAUS8",147.998880056143,-2.07450675986843,0.410118045433245,-5.058316216437,4.22974623865112e-07,2.43720824224178e-06
"MCPH1",3598.60452276087,-0.457562715830625,0.177683997901992,-2.57514869787548,0.0100197000280112,0.0214632617239508
"NDUFAF5",583.38965185894,-1.08881144589071,0.259747350403164,-4.19180963424928,2.76738164953801e-05,0.000109564208824925
"PRKAB1",2183.22227822487,-0.982177783850584,0.211793924921242,-4.63742189118889,3.5278185891682e-06,1.67436787497148e-05
"ZNF276",427.46092770433,-1.08351753776436,0.344733819564864,-3.14305552942851,0.00167194118960518,0.00440753981234755
"KLC2",839.633475801568,-0.846529745873346,0.228459242903489,-3.70538628735172,0.000211068808075122,0.000685843050269947
"SHOC2",3964.08089411257,-0.502037847623146,0.178715500584073,-2.80914551889679,0.00496731884108411,0.0115923724454842
"STX1A",4571.10439968031,-1.8549381100971,0.272233875217361,-6.81376668725026,9.50758558622573e-12,1.23745205350238e-10
"CCDC9B",558.281622246021,-0.727691202682368,0.274318224667146,-2.65272642226137,0.00798445564190779,0.017575022681331
"GTF2F1",2414.49123590293,-1.40090101144057,0.207134865438214,-6.76323132987209,1.34947505395625e-11,1.71854484780764e-10
"CBR1",1536.42164589089,-0.442352098280247,0.195873121903902,-2.2583603813558,0.0239232006334807,0.0458224287012115
"KCNQ4",42.5623425841717,-1.65584478438495,0.702300393325589,-2.35774435002672,0.0183863502978471,0.0365070376041595
"CARD10",370.501710071591,-1.76071858735668,0.337347480372027,-5.21930261763021,1.79598104406376e-07,1.10373915646102e-06
"GCN1",10818.418929538,-0.756680499933724,0.201309365507794,-3.75879432149135,0.00017073411555193,0.000565667445358202
"KDM6A",6457.55274748301,-0.730621047279918,0.181241733071443,-4.03119654010326,5.54936133179719e-05,0.000205716286760286
"NGDN",610.889705499698,-0.876160782960508,0.251420668545395,-3.4848399219904,0.000492431545228657,0.00146220000037997
"POPDC2",73.2403598875753,-1.56018147574812,0.539213104338415,-2.8934413188314,0.00381045485000789,0.00916961014404261
"NUP153",11601.4145252767,-0.512833427540507,0.167174735373976,-3.06764910614801,0.00215749795035164,0.00553447162519116
"ABCG2",142.940690446188,-2.83219238131944,0.429900396415533,-6.58801993423123,4.45730814065888e-11,5.16435956924575e-10
"BHLHE41",5849.5998465822,-3.26192410032207,0.20798276155945,-15.6836272192188,1.95749412916936e-55,2.57040729094706e-52
"CDKN2AIP",1505.73960979678,-2.03244051955773,0.198417917852934,-10.2432307603599,1.26925733266703e-24,9.43401456443963e-23
"ZNF35",1056.59166589649,-0.67062386419542,0.225816747240389,-2.96977027785065,0.00298022519195547,0.00738349598590041
"NR1D2",16682.2458717664,-2.24270259638789,0.182096840612537,-12.3159885083337,7.4299174350671e-35,1.6260511897708e-32
"RAB3GAP2",5741.48094067144,-0.596070039879565,0.171814420016486,-3.46926666470935,0.000521881175416209,0.0015407423759852
"CEBPA",117.110325569269,-2.74532368776389,0.558068173961418,-4.9193339019431,8.68392225862974e-07,4.69472064284018e-06
"C8orf33",3164.12726142341,-0.703721293937644,0.207142727124998,-3.39727734449007,0.000680599492158214,0.0019513160597588
"SFSWAP",1988.50452179325,-0.8400657624574,0.209265011968847,-4.01436319695171,5.96065030181333e-05,0.000219653773828593
"ZW10",1437.64879049968,-0.812558629099936,0.21130912831656,-3.84535507563426,0.000120377995236189,0.00041211678670373
"ZNF773",1022.3640314648,-1.41709218566571,0.226001862639193,-6.27026772751899,3.60427835375856e-10,3.56446540457897e-09
"CENPN",4732.9352672206,-1.77803402871869,0.176238339905391,-10.0888037737599,6.191946253451e-24,4.04289617808198e-22
"EPHA2",3696.43642228524,-1.82360081205299,0.222120756952189,-8.20995226684517,2.21276445127578e-16,6.13860335332797e-15
"CAVIN4",233.256768357512,-1.48821119710091,0.368034669974663,-4.04367120413781,5.26206997091436e-05,0.000196112087405443
"ARFGAP2",1683.05381489883,-0.719017841036292,0.221845320382116,-3.24107734072472,0.00119078872057773,0.00324107349142967
"PLEKHF1",653.515979872759,-1.2358401725781,0.241395372132793,-5.11956862163146,3.06235326939732e-07,1.8186377355647e-06
"ZMYND19",571.454921435023,-0.996251175556196,0.263269202736018,-3.78415388204425,0.000154232379462756,0.000515328883373155
"S100A2",201.788897027316,-1.27283121344469,0.361272886475985,-3.52318499697125,0.00042639362260349,0.00128746035562801
"SERPINE3",144.961320833199,-1.32584542225038,0.414082936298061,-3.20188374363734,0.0013653208765678,0.00366462914360169
"XPO6",21185.1141569489,-1.26520846175908,0.171830066886426,-7.36313780634993,1.79636754420559e-13,3.09017054402062e-12
"BAHCC1",4248.08696145663,-1.07168381378743,0.247193987488653,-4.33539595633014,1.45497981437809e-05,6.09317910925596e-05
"ZC3H14",3664.73549999653,-0.719470230085141,0.1873085897106,-3.84109576179476,0.000122486315617484,0.000418365109239141
"WDR77",1857.94265052765,-0.845737143288626,0.206220516855534,-4.10112997573902,4.1113753423597e-05,0.000156539794829168
"DNAJB1",8632.50159639702,-0.497378254080062,0.172029746186052,-2.89123401683184,0.00383732262960737,0.00922487364456873
"SLC9A1",4741.70783625786,-0.492799499017587,0.173037003648079,-2.84794285978181,0.00440028243196606,0.0104178621644328
"ZSWIM8",2353.5713442615,-1.18174356807274,0.224143459280604,-5.27226434295958,1.34750802398666e-07,8.47517287252495e-07
"OSBP",3240.7926741603,-0.481397227126136,0.179370792328162,-2.68381056290041,0.00727883367097882,0.0162120724318936
"NEURL4",1623.09030300535,-1.84965616178569,0.254214053409713,-7.27597918752596,3.43916612426576e-13,5.7245162333201e-12
"TP53I3",141.337361015271,-1.08270636380982,0.417386652818883,-2.59401290505483,0.0094862926141939,0.0204578478311211
"BRIX1",1162.29592611581,-1.54394044546044,0.212254528799647,-7.27400472532584,3.48983771258906e-13,5.80068946376618e-12
"ELAVL1",4342.37403410266,-0.591643656334975,0.177067923293606,-3.34133729774386,0.000833758668541075,0.00234157793365457
"ZNF646",2127.31422089244,-1.17668312745723,0.20063752024303,-5.86472124471998,4.49887856967417e-09,3.68932931724859e-08
"TFE3",7178.07314855209,-0.735718682423978,0.187554768337303,-3.92268716464112,8.75668202541453e-05,0.000309561675669605
"PSMG1",1488.33511649343,-1.22001517212274,0.217305385545873,-5.61428870737859,1.97372438782504e-08,1.45875389714299e-07
"GTF3C5",1664.05954775881,-0.928956465001927,0.204178007675222,-4.54973812105945,5.371272054278e-06,2.45942243849118e-05
"PDCD2",1630.2179046466,-0.507233959891279,0.210362128695604,-2.41124180971401,0.0158983039057542,0.0321722869106513
"MED27",977.084053691585,-1.37665565600338,0.236869597085683,-5.81187148093725,6.17782624887669e-09,4.98018762682297e-08
"MCM3",1949.59141279007,-1.20345058580159,0.195243014496633,-6.16385988970857,7.09927644691728e-10,6.68519912746361e-09
"LDLRAD4",84.9736149131502,-2.13160445240462,0.551272823062748,-3.86669605906183,0.000110319779049181,0.000380659605489993
"ZNF610",805.044921898291,-0.645142630821146,0.239406350403269,-2.69475989143326,0.00704393701051239,0.0157810895905659
"TMEM205",1764.8066495503,-1.05089336902786,0.224936421598369,-4.67195735381733,2.98342912990165e-06,1.4367630585647e-05
"KCTD5",2845.26027863432,-0.951362995999393,0.20299606239824,-4.68660812805815,2.77770095125118e-06,1.34812607153538e-05
"SDCBP",32299.3859069641,-0.473704303211163,0.176034732987739,-2.69097066909038,0.00712444583255443,0.0159266405872819
"SRF",2053.17168074581,-1.42419646617229,0.236068911593897,-6.03296917224871,1.60974133738462e-09,1.43685219978938e-08
"BCLAF1",15384.2838575509,-0.832960768463211,0.166826544753602,-4.99297500702583,5.94562540808728e-07,3.33961031714712e-06
"CCDC62",124.091703775897,-1.59701262963602,0.509984072475414,-3.13149511098311,0.00173918681776418,0.00456647629689781
"CLTA",2301.67189949877,-0.900417777460891,0.20910299763116,-4.30609693625316,1.66160265985039e-05,6.86362119332818e-05
"GAS8",817.563638860638,-0.548651347836854,0.244609024507299,-2.24297263333587,0.0248985793097448,0.0473758509551705
"NKX3-1",665.643823673897,-0.91613172859627,0.246828893491741,-3.71160651265864,0.000205947971392336,0.000670371692495013
"SLC25A44",3096.33716961195,-0.743940359261517,0.188015291626525,-3.95680772997594,7.59580191200616e-05,0.000273014558990538
"CLN6",2376.72840320496,-1.43887405849168,0.205953987670968,-6.9863860115708,2.82057364659179e-12,4.09000482888611e-11
"VASP",1219.15176000269,-0.685777554714189,0.211250136757126,-3.24628218112173,0.00116922883333116,0.00318753087711826
"RAB13",936.500482346926,-0.789563899823756,0.223750155936336,-3.52877474663486,0.000417488325452133,0.00126347683231583
"OLIG2",45.2729719135194,-2.18532813001623,0.754299921795385,-2.89716075379501,0.00376556750521984,0.00907452625952042
"RASAL2",4744.61418728278,-0.894956006503961,0.181206188911843,-4.93888212029754,7.85716887402084e-07,4.27957040774527e-06
"STXBP5L",123.77963057019,-2.16452068452568,0.445479529829134,-4.85885554686631,1.18066232867297e-06,6.20964281275354e-06
"DHX8",3999.54321845753,-0.621324797346906,0.183768924771445,-3.3810112243931,0.000722195926902403,0.00205314204092677
"CIART",1547.81161298756,-2.2764527544729,0.209907283478351,-10.8450393752425,2.10545185857449e-27,2.09094370291037e-25
"FOSL1",13613.2868134357,-2.47061163149505,0.256759841941445,-9.62226652273169,6.439629345454e-22,3.44359907713011e-20
"HNRNPM",3122.21028101201,-1.04742806404612,0.186704053912319,-5.61009813176322,2.02211918537564e-08,1.49079254727195e-07
"MED1",12254.9623221989,-0.598727375316146,0.168819633475035,-3.54655061731717,0.000390309753753474,0.00119074484094708
"BUB1B",974.817765657964,-1.43613404089533,0.243360618824879,-5.90125899510787,3.60738091223446e-09,3.00437122063332e-08
"ZNF799",217.906007556544,-1.17175418424371,0.345996319474519,-3.38660881139807,0.000707622088024959,0.00201607469534209
"KDM7A",2302.75599333114,-1.33381274501632,0.18661626618276,-7.14735522416931,8.84657408421779e-13,1.37745471050443e-11
"RRAGD",2570.11450752593,-0.709357147517985,0.301558952921588,-2.35230007481301,0.0186577165432183,0.0369589162098146
"NCOA4",7599.80692829708,-0.929954598105987,0.191444885388034,-4.85755780950266,1.18842446026312e-06,6.24768695346511e-06
"FAM151B",158.765530624497,-1.05689896489372,0.420799354450917,-2.51164587995346,0.0120169607087772,0.0251534611506073
"PPM1G",2507.45252071777,-1.25999853808779,0.196883401443831,-6.39971947278279,1.55662680415533e-10,1.63667398323022e-09
"SLC2A8",367.515739648484,-1.11362183980374,0.280614608967864,-3.96850985021691,7.23234683664133e-05,0.000261222111599716
"CPEB3",227.141598756665,-1.0674714408846,0.338757446648437,-3.15113793496154,0.00162635664229923,0.00429983955228016
"TRIM24",4960.92156519452,-0.493133596464431,0.195945853335559,-2.51668299211177,0.0118465364310214,0.0248418104873844
"EME1",507.172166150038,-1.49341578144543,0.286938973900135,-5.20464599544152,1.94366767206356e-07,1.18770757747917e-06
"ZNF689",1445.25083818668,-1.13999570102223,0.225181873851949,-5.062555353686,4.1367389999208e-07,2.39061034235032e-06
"DEDD2",1531.30953639103,-1.16887923765833,0.219800011357243,-5.31792164359145,1.0495924825806e-07,6.74868550551554e-07
"CHD4",11327.320979778,-0.385157976904218,0.173475404128385,-2.22024545116016,0.0264021105539218,0.0497957456952198
"TSPYL2",606.460282472479,-0.723805921376529,0.305939862233345,-2.36584378411098,0.017989033069564,0.0358144192749506
"STRIP1",1665.24416326326,-0.723958937988243,0.201819699007215,-3.5871569601457,0.000334303105484218,0.0010372260699954
"NDUFS4",940.401445221202,-0.624333328080589,0.262284189794399,-2.38036966151103,0.0172952782627842,0.0345964113929559
"CNIH2",328.83835447898,-1.12318667245368,0.344757875794267,-3.25789996781376,0.00112239963702578,0.00307476098988656
"WDR33",5382.52441391508,-0.439363194126838,0.180855909074962,-2.42935492887174,0.0151257168276554,0.0307775002529669
"CCDC86",1339.10981752087,-1.54766116266721,0.217057077048057,-7.13020364834524,1.00220534458752e-12,1.54420635754046e-11
"ZNF461",1379.2119805883,-0.590317097373196,0.218932386077599,-2.69634432780522,0.00701051573339058,0.0157270833214142
"ZC3H7B",3300.07139815339,-1.42847458761411,0.200632702326113,-7.11984921227962,1.08045201571547e-12,1.65398729556029e-11
"CBLL1",16487.5346989208,-1.3615491040412,0.19185741460753,-7.09667180091233,1.27797056513095e-12,1.93756370383342e-11
"KLF5",392.396639914794,-2.17249929928908,0.285258208467798,-7.61590459029448,2.61851061701838e-14,5.15759307865388e-13
"GNA11",3789.37558406603,-0.589502227747942,0.190059066520484,-3.10167906504165,0.00192426452978163,0.00500461228278154
"CSPP1",2655.55150288321,-0.439885049406357,0.183823728467326,-2.39297207751145,0.0167125129087668,0.0336013061510389
