"","x"
"DPY19L3",0.759387395342831
"GRPEL1",-0.938272565362148
"SHC1",0.976604748687976
"ZNF408",-2.26747632843145
"DNAH12",-1.77697963584767
"TRAIP",-2.2589048675769
"MCM5",-1.54878676122786
"CEMIP2",-1.10212781319465
"TBC1D2B",1.10191729683343
"TIMM10",-1.07941928143525
"ZC3H3",-0.97847032011366
"C8orf82",1.03073701843285
"RAB40B",1.28049516112568
"ING3",-2.21083481050939
"SLIT2",0.914052174756345
"GBE1",0.89178035290628
"WDFY1",0.676646961469934
"SLC4A7",-0.801363476171611
"SSBP2",1.92360625612059
"NUDT12",1.77882964250718
"HEXIM1",0.760184306698416
"NSMCE2",-1.17969127787525
"HAUS8",-2.07450675986843
"PTPRD",2.51613710310566
"PODN",1.90281403240052
"PCDHB13",1.5883390182254
"CYS1",2.7021584793165
"B4GAT1",1.02810227758509
"NRDC",0.898915632772411
"NDUFAF5",-1.08881144589071
"PRKAB1",-0.982177783850584
"KLC2",-0.846529745873346
"GTF2I",0.968092074593424
"FKBP7",1.71830944665317
"STX1A",-1.8549381100971
"GTF2F1",-1.40090101144057
"GNPTG",1.02159200064693
"PLSCR4",3.28527122871252
"CARD10",-1.76071858735668
"GCN1",-0.756680499933724
"PLTP",1.31156071445466
"DPAGT1",0.93531460888029
"JAM3",1.38846808739291
"TMEM106B",1.37775429747081
"KDM6A",-0.730621047279918
"LIPG",2.11330115856695
"ADD3",1.50390211936534
"C1R",1.76086896291588
"ABCG2",-2.83219238131944
"LDHA",0.945399913689029
"BHLHE41",-3.26192410032207
"CDKN2AIP",-2.03244051955773
"NR1D2",-2.24270259638789
"CEBPA",-2.74532368776389
"PLCD3",1.19949312099117
"SFSWAP",-0.8400657624574
"ZW10",-0.812558629099936
"HMGCR",0.81455201892213
"KBTBD3",1.43853603191175
"ZNF773",-1.41709218566571
"CENPN",-1.77803402871869
"EPHA2",-1.82360081205299
"CAVIN4",-1.48821119710091
"PLEKHF1",-1.2358401725781
"ZMYND19",-0.996251175556196
"GSR",1.25584227237412
"INTS10",1.18455592270069
"BTN3A1",1.53944937348444
"XPO6",-1.26520846175908
"BAHCC1",-1.07168381378743
"ZC3H14",-0.719470230085141
"HSD17B4",1.04387848040147
"WDR77",-0.845737143288626
"OGT",0.927799932990833
"IFT122",1.35341076253295
"COL6A1",1.1726059105136
"ZSWIM8",-1.18174356807274
"NEURL4",-1.84965616178569
"BRIX1",-1.54394044546044
"SSC5D",2.02699298438293
"ZNF646",-1.17668312745723
"SERPINF1",1.41251145253298
"SLC7A11",0.974501287556247
"TFE3",-0.735718682423978
"PSMG1",-1.22001517212274
"ALKBH5",0.659445447776531
"GOLM1",1.17075208598173
"GTF3C5",-0.928956465001927
"ASS1",1.84679529704188
"MED27",-1.37665565600338
"MCM3",-1.20345058580159
"LDLRAD4",-2.13160445240462
"TMEM205",-1.05089336902786
"KCTD5",-0.951362995999393
"EEF2K",1.73899226431469
"SRF",-1.42419646617229
"ZMAT1",1.73404237133849
"BCLAF1",-0.832960768463211
"CNTNAP3B",1.07058550162053
"CLTA",-0.900417777460891
"NKX3-1",-0.91613172859627
"POSTN",1.28858813819999
"SLC25A44",-0.743940359261517
"CLN6",-1.43887405849168
"RASAL2",-0.894956006503961
"STXBP5L",-2.16452068452568
"CIART",-2.2764527544729
"ATP9A",1.84978250237463
"SPTSSA",0.821138886395602
"FOSL1",-2.47061163149505
"HNRNPM",-1.04742806404612
"SERPINI1",1.81052468828041
"ACVR2A",0.969295728205086
"SMAD9",2.04852586834424
"BUB1B",-1.43613404089533
